RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
1133.3333333333321,6.694214876033058,31.02177929022852
1400.0,8.42975206611571,31.62361275088551
1800.0,11.652892561983478,34.00055096418735
2161.9047619047615,15.123966942148755,36.74124585866676
2580.95238095238,18.099173553719012,36.83014851636122
3114.2857142857138,21.570247933884303,36.376541056941406
3590.476190476189,25.289256198347104,36.99207751496154
4028.5714285714275,29.752066115702476,38.78740988218745
4523.809523809523,34.95867768595042,40.58592083514573
4942.857142857141,39.66942148760331,42.150480103186375
5285.714285714284,44.13223140495868,43.85073933437571
5723.809523809523,49.09090909090909,45.044380577824846
6161.9047619047615,54.049586776859506,46.06829230906793
6504.761904761905,57.768595041322314,46.642854204227824
6866.666666666666,58.7603305785124,44.94309556286609
7228.5714285714275,59.75206611570248,43.4135367327606
7476.190476190475,60.0,42.149808917197454
7742.857142857141,59.50413223140496,40.361806593272554
7971.428571428569,60.99173553719009,40.18459077579314
8142.857142857141,59.75206611570248,38.53903436276643
8447.619047619046,59.00826446280992,36.68624297707009
8619.047619047618,58.01652892561984,35.352259714168305
