RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
4205.043859649123,11.23294117647059,14.029676985044865
4542.763157894737,12.25411764705882,14.16728621885249
4872.80701754386,15.171764705882353,16.35240385026738
5164.473684210527,17.9435294117647,18.24763223379542
5532.894736842105,23.92470588235294,22.71009322794992
5878.28947368421,28.009411764705888,25.025210351887825
6323.464912280701,32.82352941176471,27.261822254408965
6722.587719298245,38.367058823529405,29.97414111276348
7252.19298245614,43.61882352941176,31.588522496664826
7566.8859649122805,46.974117647058826,32.60364528107606
7881.578947368421,49.74588235294117,33.148862158499455
8211.622807017544,54.268235294117645,34.70894590057575
8633.771929824561,61.27058823529411,37.271441963872164
8894.736842105263,66.08470588235295,39.0204771040724
9178.728070175439,71.3364705882353,40.818198411040925
9470.394736842105,75.56705882352941,41.9072492720103
9739.035087719298,80.52705882352942,43.42607959945429
10053.728070175439,84.61176470588235,44.20061743598956
10414.473684210527,88.98823529411764,44.87660403552451
10744.517543859649,92.05176470588235,44.995586471128505
10997.807017543859,95.40705882352941,45.56161716075304
11304.824561403508,99.92941176470588,46.425246826039825
11665.570175438595,103.5764705882353,46.631550395603306
12049.342105263157,104.88941176470588,45.71861150391033
12218.201754385964,104.88941176470588,45.08676494808136
12402.412280701754,107.07764705882353,45.34374358994628
12601.973684210525,109.7035294117647,45.72005551737375
12747.807017543859,111.6,45.978355272664714
12932.017543859649,113.4964705882353,46.09361698650361
13062.499999999998,114.08,45.867801722488046
13208.333333333332,114.37176470588236,45.477388636110604
13569.07894736842,114.22588235294117,44.21186850224599
13822.36842105263,114.08,43.34627335554499
14091.008771929823,112.91294117647058,42.08490510914692
14344.298245614034,112.62117647058824,41.23494985224421
14589.912280701754,112.62117647058824,40.540779645803305
14781.798245614034,112.32941176470588,39.9108458108798
14942.98245614035,112.03764705882352,39.37779650615515
15188.596491228069,111.89176470588235,38.69057608941584
15326.75438596491,111.89176470588235,38.34181284808901
15533.991228070174,111.89176470588235,37.830299992277
15679.824561403508,112.18352941176471,37.57617913155081
