RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
1398.373983739837,3.6131386861313786,13.570192666779807
1495.9349593495954,6.021897810218974,21.14196683592506
1853.6585365853662,8.029197080291965,22.749250864387225
2243.902439024392,9.635036496350352,22.551431291653394
2796.747967479676,16.05839416058393,30.15598370395515
3284.5528455284566,19.270072992700733,30.812846715328458
3902.4390243902435,21.6788321167883,29.175914233576616
4357.723577235773,26.897810218978094,32.41768248175181
5008.130081300815,35.32846715328466,37.04877997914492
5528.455284552847,39.74452554744525,37.75706547874623
6178.861788617885,44.56204379562044,37.877502689204775
7056.910569105692,47.773722627737214,35.55487756063102
7544.715447154473,56.20437956204378,39.12478920211425
8130.081300813008,60.62043795620437,39.1605604379562
8585.365853658537,67.84671532846714,41.50445711678831
8943.089430894312,72.66423357664233,42.67345839416057
9398.373983739837,77.48175182481751,43.298357916803475
9853.658536585366,80.6934306569343,43.00959854014598
10699.186991869921,90.32846715328466,44.34029518780643
11447.154471544718,97.15328467153284,44.57431341240875
12357.723577235773,101.16788321167883,42.996084133691895
13073.170731707318,102.37226277372262,41.126910611177685
13756.097560975611,101.56934306569342,38.77859890252108
14243.902439024392,99.56204379562043,36.71043495650434
14666.66666666667,95.94890510948905,34.358430656934296
14959.349593495937,93.94160583941606,32.98146826404315
