RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
2369.836956521739,16.696113074204945,37.00169567548053
2744.184782608696,19.66431095406361,37.63484215248953
3252.228260869565,23.745583038869256,38.34657106349494
3653.3152173913045,26.52826855123675,38.136995616431705
4034.3478260869565,29.496466431095406,38.39912877476668
4381.95652173913,32.46466431095406,38.910567942709804
4976.902173913044,37.84452296819788,39.93637561750636
5304.456521739131,40.07067137809187,39.67440683418771
5799.130434782609,43.966431095406364,39.818331163598046
6173.478260869565,46.74911660777386,39.771154938746754
6594.619565217391,50.830388692579504,40.48166824080127
6955.597826086957,53.79858657243817,40.62198300464431
7363.369565217392,57.13780918727915,40.7541372456878
7784.510869565218,62.332155477031804,42.05382792196619
8245.760869565218,67.15547703180212,42.77356219155333
8834.021739130436,71.97879858657244,42.79281411570191
9188.315217391304,75.68904593639576,43.26352109748493
9555.978260869566,78.65724381625442,43.23030392551109
10017.228260869566,82.18197879858657,43.08774257807608
10485.16304347826,85.70671378091873,42.93034442200359
10912.989130434784,88.30388692579506,42.49724879143158
11314.076086956522,90.34452296819788,41.937974517954
11655.0,91.08657243816255,41.045618056218764
11929.076086956522,91.64310954063605,40.34760175883978
12196.467391304348,91.64310954063605,39.46303432505197
12370.271739130436,90.53003533568905,38.435998465500276
