RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
3022.9641693811077,23.745583038869256,41.254806584648875
3356.840390879479,26.52826855123675,41.50524010901586
3610.586319218241,28.38339222614841,41.28680574073847
3997.8827361563517,31.537102473498237,41.43014518481241
4405.211726384365,34.31978798586572,40.91688157057261
4699.022801302932,36.91696113074205,41.26131922681809
5099.674267100977,39.88515901060071,41.07651668559543
5466.938110749186,43.78091872791519,42.05962835154541
5820.84690553746,47.30565371024735,42.68267097866214
6314.983713355049,51.015901060070675,42.42853576975282
6708.957654723127,54.54063604240283,42.6962630019046
7203.094462540716,58.99293286219081,43.01358048314985
7597.068403908795,63.63074204946997,43.989159959632815
8017.7524429967425,69.01060070671379,45.205146640346086
8451.791530944625,74.01943462897526,45.996173621656865
8965.960912052116,78.84275618374559,46.18380110495678
9506.840390879479,84.03710247349824,46.42582015095577
10027.687296416938,87.93286219081273,46.054825861110146
10441.69381107492,90.71554770318022,45.62842630299802
10795.602605863192,92.75618374558304,45.125362132839484
11256.351791530944,94.05477031802121,43.884169832174656
11677.035830618892,94.98233215547704,42.720362917146765
12010.912052117264,95.35335689045937,41.69507096677251
12244.625407166124,94.05477031802121,40.34224300738101
12404.885993485343,93.12720848056537,39.42834292848733
