RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
4419.501133786848,1.1333333333333329,1.3468186762442274
4510.2040816326535,2.799999999999997,3.26051764705882
4997.7324263038545,16.799999999999997,17.65472667876588
5224.489795918367,22.266666666666666,22.383914583333333
5541.950113378684,28.133333333333333,26.661421276595746
5882.086167800453,33.8,30.17936067848882
6448.9795918367345,40.13333333333333,32.68428185654008
6800.453514739229,42.666666666666664,32.951527842614205
7151.927437641723,45.8,33.63311528218135
7854.875283446712,49.93333333333333,33.38689122401847
8229.024943310658,51.86666666666667,33.102795921741524
8625.850340136054,52.53333333333333,31.98583974763407
8897.959183673469,53.199999999999996,31.401177981651372
9136.054421768707,53.13333333333333,30.54450573343261
9317.460317460318,52.666666666666664,29.686773424190797
9555.555555555555,52.6,28.910427906976746
9793.650793650793,52.666666666666664,28.243332252836304
10031.746031746032,52.266666666666666,27.363584810126582
10247.165532879819,51.733333333333334,26.51498756362027
10405.895691609978,51.13333333333333,25.80770311614731
10564.625850340137,50.199999999999996,24.955961880231804
10780.045351473924,49.13333333333333,23.937586369373157
10938.775510204083,48.266666666666666,23.174123383084574
11120.181405895692,47.46666666666667,22.41824339314845
11278.91156462585,46.86666666666667,21.823358745476476
11403.628117913831,45.93333333333333,21.15483459932392
