RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
4963.718820861678,16.733333333333334,17.70516619460941
5099.7732426303855,17.06666666666667,17.57610173410405
5213.1519274376415,18.4,18.537115615484993
5349.206349206349,19.866666666666667,19.50564747774481
5541.950113378684,20.53333333333334,19.459046808510646
5689.342403628118,22.133333333333336,20.43193367875648
5859.410430839002,23.200000000000003,20.79499318885449
6018.1405895691605,25.133333333333336,21.933729314242658
6210.884353741497,27.06666666666667,22.887905366922237
6380.952380952381,29.333333333333336,24.143522388059704
6585.034013605442,30.0,23.92698347107438
6857.142857142857,32.13333333333334,24.611455555555562
7106.575963718821,34.53333333333333,25.521301340140393
7390.022675736962,37.0,26.29545382019024
7696.145124716553,39.266666666666666,26.796341543901
7979.591836734694,40.86666666666667,26.89758294970162
8263.038548752835,42.400000000000006,26.949505159165753
8557.823129251701,43.66666666666667,26.798559618441974
8841.269841269841,45.13333333333333,26.81065852782765
9113.378684807256,47.13333333333333,27.16273242100025
9419.50113378685,48.53333333333333,27.060569667790077
9702.947845804989,48.4,26.197894087403597
9907.029478458051,48.266666666666666,25.587542046234834
10133.786848072563,49.06666666666667,25.42959874692325
10360.544217687075,50.333333333333336,25.51513328956008
10609.977324263038,50.800000000000004,25.146293139559738
10825.396825396825,50.800000000000004,24.645895601173024
11006.802721088436,50.86666666666667,24.271511001236092
11256.235827664397,51.06666666666667,23.82698243352136
11369.614512471657,51.06666666666667,23.58937790187475
11607.709750566893,51.46666666666667,23.286500019535065
11811.791383219956,51.266666666666666,22.795232712612783
12117.913832199545,50.66666666666667,21.95933532934132
12310.65759637188,50.53333333333333,21.558642549272427
12605.442176870747,51.0,21.248917431192663
12843.537414965986,51.333333333333336,20.991309322033903
13047.619047619046,51.733333333333334,20.823988321167885
13240.362811791381,52.2,20.705958280527494
13365.079365079364,52.66666666666667,20.696123515439435
