RPM,Power,Torque
RPM,Power (HP),Torque (lb-ft)
3932.2475570032575,29.707903780068733,39.67855746392208
4110.097719869707,30.60137457044675,39.103308533764306
4356.351791530945,32.16494845360826,38.777931021723965
4643.648208469056,33.50515463917526,37.89457432283893
4924.104234527687,35.51546391752578,37.88043623994016
5149.837133550489,37.749140893470795,38.4980112634789
5341.368078175896,38.195876288659804,37.556809291553044
5546.5798045602605,39.312714776632305,37.22480975341201
5765.472312703583,41.99312714776633,38.25322398897238
5909.120521172638,45.34364261168386,40.30122759271542
6148.534201954398,48.91752577319589,41.78473062395275
6606.840390879479,52.71477663230242,41.90475181677545
7010.4234527687295,55.84192439862544,41.835102960257096
7626.058631921825,65.0,44.76493251324107
8084.364820846906,70.36082474226805,45.70984359754312
8467.42671009772,73.04123711340208,45.304505188349076
8939.41368078176,76.61512027491409,45.01219275139979
9301.954397394136,81.30584192439864,45.90629705802118
9780.781758957655,88.23024054982818,47.377115121018804
10184.364820846906,91.58075601374571,47.22750402652948
10485.342019543974,95.15463917525774,47.661980316612386
10738.436482084691,97.38831615120276,47.63109017587826
11210.42345276873,100.51546391752578,47.09074717105925
11463.517915309447,103.86597938144331,47.58610120745076
11757.654723127036,106.09965635738833,47.39341376413565
12127.035830618894,107.88659793814435,46.7237353204239
12414.332247557004,109.89690721649485,46.492920053320866
12701.628664495114,111.01374570446737,45.903104856910765
12879.478827361563,111.01374570446737,45.269238006838094
13159.934853420196,111.23711340206187,44.393633106458275
13324.104234527687,111.23711340206187,43.84664884816088
13454.071661237786,111.23711340206187,43.42308665344811
13775.57003257329,110.56701030927836,42.154185763001415
