0.294118 6.50307
0.382353 6.99387
0.470588 8.22086
0.558824 8.46626
0.647059 8.95706
1.35294 12.638
1.38235 11.9018
1.44118 12.8834
1.47059 12.1472
1.64706 12.8834
1.85294 14.3558
2.02941 16.319
2.70588 19.0184
2.76471 19.2638
4.08824 24.6626
4.47059 26.8712
4.76471 29.5706
5 31.2883
5.23529 32.0245
5.29412 33.2515
5.58824 35.2147
5.76471 35.7055
5.79412 36.6871
5.82353 36.6871
5.85294 36.6871
6.38235 41.8405
6.41176 42.0859
6.44118 42.0859
6.47059 42.5767
6.67647 43.5583
6.73529 44.7853
7.08824 46.9939
7.67647 50.6748
7.70588 50.9202
7.97059 53.6196
8 53.865
8.29412 54.8466
8.38235 56.5644
8.47059 57.0552
9.38235 57.7914
9.5 58.0368
9.55882 58.2822
9.58824 59.2638
10.2941 59.5092
10.4412 59.5092
10.6765 60
10.7353 59.2638
10.7647 59.2638
11.1176 58.5276
11.1765 59.2638
11.5882 59.0184
